execCount post1_u_raw post1_v_raw post2_u_raw post2_v_raw center_u_raw center_v_raw post1_u_filtered post1_v_filtered post2_u_filtered post2_v_filtered center_u_filtered center_v_filtered 
99 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
100 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
101 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
102 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
103 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
104 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
105 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
106 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
107 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
108 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
109 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
110 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
111 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
112 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
113 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
114 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
115 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
116 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
117 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
118 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
119 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
120 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
121 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
122 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
123 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
124 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
125 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
126 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
127 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
128 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
129 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
130 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
