u v u_raw v_raw uestimate vestimate distance angle 
631.506090192 -62.0168640312 674 -96 675.286572592 -110.950159273 634.543957007 -5.60873028306 
635.133470478 -63.5944591143 655 -88 681.322698009 -83.6827576973 638.309314166 -5.71783776786 
649.733859068 -73.9647750274 668 -94 851.512803206 -217.283658789 653.930329289 -6.49451144666 
645.765352163 -82.9106972064 1085 -115 590.212030289 -208.140590003 651.066105527 -7.3162575071 
654.207680388 -82.9106972064 690 -114 773.92110235 -82.9106972064 659.440575632 -7.22284718442 
662.743643172 -91.8095947054 685 -115 765.293281827 -198.719470732 669.072595646 -7.886964115 
670.960704657 -101.831951369 710 -126 800.98381309 -260.421243842 678.644246652 -8.62994216947 
675.443942161 -101.831951369 687 -124 747.108491095 -101.831951369 683.07705665 -8.57351521051 
678.3987335 -112.632575669 671 -122 724.606649512 -281.535988241 687.685203212 -9.42666454187 
680.382937151 -118.058746355 683 -127 711.129357861 -202.140502107 690.5496425 -9.84384054295 
680.261816079 -120.549543124 673 -121 678.394885077 -158.942084045 690.860572592 -10.049088596 
684.121304341 -120.549543124 691 -140 744.636372017 -120.549543124 694.66117741 -9.99354236999 
688.682597585 -121.374762616 709 -151 761.435634936 -134.537087703 699.296470187 -9.99527483034 
687.15430821 -126.758441768 715 -157 667.285390472 -196.750342474 698.747984506 -10.4517798496 
694.150962013 -126.758441768 726 -164 785.443426215 -126.758441768 705.62969086 -10.3487192347 
699.192156706 -137.740783914 733 -171 778.588209404 -310.706651913 712.63047616 -11.144555642 
702.006684372 -147.815093315 742 -177 747.560900516 -310.871677708 717.399948923 -11.8905503046 
704.624240301 -155.141478758 1206 -242 746.202825055 -271.517497582 721.501350277 -12.417046932 
709.028060991 -159.845841186 1189 -257 755.029184944 -208.986343133 726.822869905 -12.7045730963 
721.545467124 -164.680024418 779 -192 882.086722104 -226.680556687 740.099568687 -12.8565375504 
737.475999912 -173.541722346 804 -202 954.500481506 -294.26620937 757.61968021 -13.2418418808 
750.213108996 -184.984972959 794 -204 928.99742465 -345.608055971 772.683084537 -13.8514851549 
754.104954085 -184.843426383 740 -184 807.570801278 -182.898871186 776.428602032 -13.7725874211 
754.966226051 -185.514273606 721 -168 767.256052419 -195.086854892 777.424946981 -13.805495491 
758.160049668 -188.047646431 751 -186 804.344049811 -224.681257082 781.132881295 -13.9300473028 
