u v u_raw v_raw uestimate vestimate distance angle 
1200.48229503 -7.4933108377 1201 -7 1220.03331221 -16.4894838676 1200.50568112 -0.357630855229 
1199.25138054 -7.11651270383 1191 -5 1181.04758808 -1.54410693912 1199.27249551 -0.339996570685 
1198.87893383 -6.99210123547 1198 -7 1193.63449086 -5.24025639703 1198.89932332 -0.334156633527 
1198.15322822 -6.99402323427 1190 -8 1187.58164757 -7.02202159237 1198.17364128 -0.334450930197 
1196.67623756 -7.42469984901 1195 -8 1178.13142431 -12.8321933319 1196.69927037 -0.355483374392 
1196.20022046 -7.0 1191 -7 1189.25179548 -0.800653318327 1196.2207018 -0.335283234111 
1196.79914238 -7.0 1198 -7 1205.60090439 -7.0 1196.81961347 -0.335115449986 
1196.79914238 -7.44169352461 1201 -8 1196.79914238 -13.9271122451 1196.82227837 -0.356260396033 
1194.83228173 -7.49849064246 1189 -6 1167.28412134 -8.29400003321 1194.8558109 -0.359570320324 
1194.16711606 -6.66927500836 1192 -6 1184.22294917 5.72742398698 1194.18573945 -0.319986484665 
1194.71590186 -6.50151882876 1198 -6 1202.47150539 -4.13073880939 1194.73359202 -0.31179455434 
1195.56591691 -7.0 1197 -7 1206.48672169 -13.4043754866 1195.58640913 -0.335461113458 
1194.41893631 -7.0 1186 -7 1177.82004565 -7.0 1194.4394482 -0.335783243804 
1194.99270039 -7.0 1194 -7 1203.69830848 -7.0 1195.01320243 -0.335622024446 
1195.41209716 -7.0 1198 -9 1201.37960899 -7.0 1195.43259201 -0.335504277958 
1196.14918336 -7.32766837878 1189 -8 1207.08685306 -12.1899606113 1196.17162798 -0.35099235588 
1195.78750458 -6.77729247935 1201 -6 1190.48675671 1.28899191055 1195.80671006 -0.324728345461 
1195.78750458 -6.38040128112 1203 -6 1195.78750458 -0.79070862559 1195.80452652 -0.305712005186 
1195.82276688 -6.37876400341 1196 -6 1196.19082705 -6.36167445325 1195.83977957 -0.305624545458 
1196.3230364 -6.7813401435 1195 -8 1204.56840908 -13.4165441465 1196.34225621 -0.324776834028 
